epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5155,1.55133,4.6622,1.27439,0.83615,0.84176,0.89199,0.56208,1.20117,4.13187,1.09803,0.00048,0.00048,0.00048
2,53.4383,1.07724,0.76632,1.02002,0.87163,0.8866,0.93349,0.64315,1.10408,0.84973,1.10187,0.000970298,0.000970298,0.000970298
3,73.8761,1.06027,0.72462,1.03425,0.8409,0.81735,0.86154,0.52777,1.23809,0.99756,1.12147,0.0014507,0.0014507,0.0014507
4,94.1526,1.04902,0.69564,1.01884,0.93475,0.93814,0.97371,0.68467,1.0918,0.68874,1.01734,0.00192119,0.00192119,0.00192119
5,115.779,0.97371,0.64721,0.99329,0.93782,0.933,0.96056,0.69646,0.98441,0.70351,1.00072,0.0019208,0.0019208,0.0019208
6,136.866,1.01606,0.64645,1.01567,0.92676,0.96907,0.97319,0.68104,1.09778,0.6313,1.01724,0.001901,0.001901,0.001901
7,159.49,0.95979,0.61153,0.9909,0.97329,0.95876,0.97669,0.68076,1.0946,0.62387,1.03477,0.0018812,0.0018812,0.0018812
8,181.557,0.93644,0.59279,0.99772,0.97886,0.95496,0.98,0.7161,0.96022,0.62089,0.96985,0.0018614,0.0018614,0.0018614
9,202.182,0.89014,0.54833,0.95584,0.9755,0.95876,0.98615,0.76412,0.90285,0.52666,0.93783,0.0018416,0.0018416,0.0018416
10,223.228,0.8776,0.5635,0.96132,0.98914,0.93857,0.98575,0.74048,0.92705,0.5474,0.92783,0.0018218,0.0018218,0.0018218
11,243.653,0.87907,0.55664,0.94964,0.97766,0.95876,0.99027,0.74644,0.89183,0.51972,0.92991,0.001802,0.001802,0.001802
12,264.019,0.89541,0.54038,0.94997,0.99462,0.98969,0.99302,0.75208,0.93698,0.51612,0.93839,0.0017822,0.0017822,0.0017822
13,284.958,0.85083,0.52648,0.93042,0.96991,0.96907,0.98208,0.74666,0.87893,0.55278,0.92904,0.0017624,0.0017624,0.0017624
14,306.566,0.8444,0.5285,0.94151,1,0.96784,0.99086,0.71137,1.04336,0.55773,0.94044,0.0017426,0.0017426,0.0017426
15,326.978,0.86735,0.54574,0.9627,0.98563,0.94845,0.98114,0.7566,0.85721,0.51301,0.93708,0.0017228,0.0017228,0.0017228
16,348.079,0.81877,0.52226,0.9514,0.99608,0.97938,0.98245,0.7764,0.80099,0.49659,0.89333,0.001703,0.001703,0.001703
17,369.348,0.80761,0.49876,0.93668,0.97934,0.97718,0.98312,0.77341,0.85423,0.48235,0.90761,0.0016832,0.0016832,0.0016832
18,389.878,0.80733,0.49672,0.93006,0.99361,0.94845,0.97682,0.75946,0.88939,0.52201,0.90735,0.0016634,0.0016634,0.0016634
19,410.487,0.78393,0.48405,0.92844,1,0.97711,0.99281,0.80219,0.7908,0.45649,0.89379,0.0016436,0.0016436,0.0016436
20,434.214,0.78884,0.4828,0.91695,0.98938,0.96002,0.98481,0.78699,0.81,0.48332,0.89783,0.0016238,0.0016238,0.0016238
21,455.095,0.82649,0.50406,0.93404,0.97928,0.97445,0.98545,0.77333,0.79783,0.49234,0.90218,0.001604,0.001604,0.001604
22,475.488,0.76621,0.46322,0.91831,0.98782,0.97938,0.987,0.78368,0.82548,0.45833,0.91135,0.0015842,0.0015842,0.0015842
23,495.908,0.7607,0.46468,0.91725,1,0.96772,0.98529,0.77045,0.8579,0.48072,0.89184,0.0015644,0.0015644,0.0015644
24,516.51,0.77707,0.47257,0.90192,0.98946,0.96742,0.9851,0.77006,0.83747,0.46303,0.90394,0.0015446,0.0015446,0.0015446
25,537,0.73784,0.44248,0.92371,1,0.98923,0.98985,0.80383,0.79957,0.40951,0.89586,0.0015248,0.0015248,0.0015248
26,556.584,0.72132,0.44923,0.90238,0.98934,0.97938,0.98,0.80771,0.7221,0.42518,0.89027,0.001505,0.001505,0.001505
27,578.04,0.73043,0.44438,0.91632,0.98595,0.95876,0.98741,0.81659,0.736,0.43351,0.88313,0.0014852,0.0014852,0.0014852
28,599.462,0.76246,0.44809,0.9231,1,0.96739,0.97685,0.77517,0.82183,0.4622,0.89292,0.0014654,0.0014654,0.0014654
29,619.746,0.73987,0.45681,0.90802,0.98969,0.98929,0.98905,0.8172,0.73593,0.45485,0.87784,0.0014456,0.0014456,0.0014456
30,640.848,0.71187,0.44434,0.90606,1,0.96745,0.98909,0.80262,0.75033,0.44571,0.87833,0.0014258,0.0014258,0.0014258
31,661.78,0.72063,0.43921,0.90714,0.97934,0.97756,0.98862,0.8327,0.70505,0.44709,0.87532,0.001406,0.001406,0.001406
